Player,Minutes,Actual Impact,Predicted Impact
Max Aarons,1233,0.00648824,0.012116992
Brenden Aaronson,1269,0.020488574,0.012104935
Paxten Aaronson,99,0.02020202,0.01249681
Yunis Abdelhamid,2781,0.004314995,0.01159851
Salis Abdul Samed,1521,0.003944773,0.01202053
Nabil Aberdin,180,0,0.01246968
Laurent Abergel,2862,0.011530398,0.011571381
Matthis Abline,1044,0.021072797,0.012180295
Abner,1404,0.006410256,0.012059718
Zakaria Aboukhlal,756,0.010582011,0.012276757
Abdel Abqar,2313,0.001297017,0.011755261
Tammy Abraham,243,0.016460905,0.012448579
Francesco Acerbi,2385,0.004612159,0.011731145
Joshua Acheampong,9,0,0.012526955
Marcos Acuña,1296,0.020061728,0.012095891
Akor Adams,2250,0.011555556,0.011776362
Tyler Adams,117,0.008547009,0.012490781
Junior Adamu,108,0.009259259,0.012493796
Sargis Adamyan,801,0.018726592,0.012261685
Tosin Adarabioyo,1620,0.002469136,0.011987372
Elijah Adebayo,1422,0.016877637,0.012053689
Karim Adeyemi,909,0.01430143,0.012225512
Simon Adingra,2223,0.017993702,0.011785405
Nathaniel Adjei,1242,0.002415459,0.012113978
Amine Adli,900,0.034444444,0.012228526
Yacine Adli,1404,0.017806268,0.012059718
Adryelson,9,0,0.012526955
Adson,234,0.012820513,0.012451594
Michel Aebischer,2232,0.008064516,0.011782391
Emmanuel Agbadou,2592,0.005401235,0.011661813
Julen Agirrezabala,234,0,0.012451594
Lucien Agoume,9,0,0.012526955
Lucien Agoume,774,0.011627907,0.012270728
Felix Agu,1611,0.004345127,0.011990386
Nayef Aguerd,1854,0.002696872,0.011908997
Ruben Aguilar,1926,0.015576324,0.011884881
Brandon Aguilera,9,0,0.012526955
Naouirou Ahamada,351,0.002849003,0.012412406
Anel Ahmedhodžić,2646,0.003401361,0.011643727
Joseph Aidoo,405,0.002469136,0.01239432
Ola Aina,1692,0.007683215,0.011963256
Rayan Aït-Nouri,2331,0.012012012,0.011749232
Tosin Aiyegun,900,0.01,0.012228526
Kristoffer Ajer,1836,0.008169935,0.011915025
Ludovic Ajorque,1359,0.013245033,0.01207479
Manuel Akanji,2511,0.005973716,0.011688943
Marley Aké,9,0,0.012526955
Nathan Aké,2043,0.006852668,0.011845694
Ilias Akhomach,1512,0.016534392,0.012023545
Sergio Akieme,1674,0.01135006,0.011969285
Sergio Akieme,819,0.00976801,0.012255656
Ebenezer Akinsanmiro,18,0.055555556,0.01252394
Maghnes Akliouche,1611,0.030415891,0.011990386
Paul Akouokou,27,0,0.012520926
Paul Akouokou,306,0,0.012427478
Jean-Daniel Akpa-Akpro,702,0.001424501,0.012294844
David Akpan Ankeye,54,0,0.012511882
Kevin Akpoguma,1098,0.004553734,0.012162209
David Alaba,1152,0.009548611,0.012144122
Luis Alberto,2313,0.03285776,0.011755261
Raúl Albiol,2034,0.001966568,0.011848708
Thiago Alcántara,9,0,0.012526955
Carlos Alcaraz,378,0.007936508,0.012403363
Rubén Alcaraz,3132,0.00862069,0.011480948
Omar Alderete,2196,0.006375228,0.011794448
Iván Alejo,1692,0.010638298,0.011963256
Carles Aleñá,1017,0.019665683,0.012189339
Trent Alexander-Arnold,2151,0.033007903,0.01180952
Aboubacar Ali,126,0.015873016,0.012487767
Mohamed Ali Cho,252,0.003968254,0.012445565
Mohamed Ali Cho,864,0.019675926,0.012240584
Faride Alidou,1278,0.014084507,0.01210192
Nabil Alioui,1008,0.028769841,0.012192353
Alisson,2520,0.000396825,0.011685929
Tadeo Allende,333,0.009009009,0.012418435
Jim Allevinah,1863,0.012345679,0.011905982
Domingos André Ribeiro Almeida,963,0.016614746,0.012207425
Miguel Almirón,1935,0.014470284,0.011881867
Pontus Almqvist,2106,0.014245014,0.011824593
Marcos Alonso,252,0.01984127,0.012445565
Adrià Altimira,774,0.002583979,0.012270728
Sergi Altimira,567,0.008818342,0.01234006
Edson Álvarez,2376,0.005892256,0.01173416
Gastón Álvarez,2538,0.00394011,0.0116799
Hugo Álvarez,765,0.02745098,0.012273743
Julián Álvarez,2646,0.03250189,0.011643727
Yeray Álvarez,1152,0.002604167,0.012144122
Skelly Alvero,423,0.004728132,0.012388291
Skelly Alvero,126,0.015873016,0.012487767
Papa Amadou Diallo,891,0.016835017,0.012231541
Selim Amallah,603,0.008291874,0.012328002
Amath,396,0.007575758,0.012397334
Lorenzo Amatucci,18,0,0.01252394
Jordan Amavi,90,0.011111111,0.012499825
Zeki Amdouni,1953,0.011264721,0.011875838
Kelvin Amian,801,0.007490637,0.012261685
Bruno Amione,576,0.001736111,0.012337046
Michael Amir Murillo,999,0.012012012,0.012195367
Nadiem Amiri,1314,0.043378995,0.012089862
Nadiem Amiri,90,0.011111111,0.012499825
Sofyan Amrabat,936,0.006410256,0.012216468
Joachim Andersen,3411,0.007329229,0.0113875
Elliot Anderson,1026,0.016569201,0.012186324
Felipe Anderson,2772,0.019119769,0.011601525
