Player,Position,Minutes,Impact,Fatigue_Score,Predicted Impact,Sub_Recommendation,Sub Early Probability
Max Aarons,DF,1233.0,0.00648824,0.656934307,0.012116992,Sub Early,0.430001504
Brenden Aaronson,"MF,FW",1269.0,0.020488574,1.531914894,0.012104935,Sub Early,0.565278399
Paxten Aaronson,MF,99.0,0.02020202,3.454545455,0.01249681,Monitor,0.393534366
Yunis Abdelhamid,DF,2781.0,0.004314995,0.582524272,0.01159851,Monitor,0.842379319
Salis Abdul Samed,MF,1520.9999999999998,0.003944773,1.171597633,0.01202053,Sub Early,0.572177005
Nabil Aberdin,DF,180.0,0.0,0.35,0.01246968,Monitor,0.1374512
Laurent Abergel,MF,2862.0,0.011530398,0.767295597,0.011571381,Sub Early,0.87251339
Matthis Abline,FW,1044.0,0.021072797,2.0,0.012180295,Sub Early,0.544072011
Abner,DF,1404.0,0.006410256,0.807692308,0.012059718,Sub Early,0.501029333
Zakaria Aboukhlal,"MF,FW",756.0,0.010582011,1.702380952,0.012276757,Sub Early,0.397427223
Abdel Abqar,DF,2313.0,0.001297017,0.696498054,0.011755261,Sub Early,0.748642389
Tammy Abraham,FW,243.00000000000003,0.016460905,2.074074074,0.012448579,Monitor,0.295035813
Francesco Acerbi,DF,2385.0,0.004612159,0.283018868,0.011731145,Monitor,0.738103463
Joshua Acheampong,DF,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Marcos Acuña,DF,1296.0,0.020061728,1.027777778,0.012095891,Sub Early,0.519348058
Akor Adams,FW,2250.0,0.011555556,1.572,0.011776362,Sub Early,0.813815503
Tyler Adams,MF,117.0,0.008547009,0.923076923,0.012490781,Monitor,0.16828938
Junior Adamu,"FW,MF",108.0,0.009259259,3.416666667,0.012493796,Monitor,0.369954399
Sargis Adamyan,"FW,MF",801.0,0.018726592,1.865168539,0.012261685,Sub Early,0.445979302
Tosin Adarabioyo,DF,1620.0,0.002469136,0.277777778,0.011987372,Monitor,0.505625521
Elijah Adebayo,FW,1422.0,0.016877637,2.094936709,0.012053689,Sub Early,0.661834242
Karim Adeyemi,"FW,MF",909.0,0.01430143,1.871287129,0.012225512,Sub Early,0.471851919
Simon Adingra,FW,2223.0,0.017993702,1.153846154,0.011785405,Sub Early,0.788595566
Nathaniel Adjei,DF,1242.0,0.002415459,0.594202899,0.012113978,Monitor,0.417610048
Amine Adli,"MF,FW",900.0,0.034444444,1.2,0.012228526,Sub Early,0.440985271
Yacine Adli,MF,1404.0,0.017806268,1.0,0.012059718,Sub Early,0.546365656
Adryelson,"DF,FW",9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Adson,"MF,FW",234.0,0.012820513,1.076923077,0.012451594,Monitor,0.20707135
Michel Aebischer,MF,2232.0,0.008064516,0.947580645,0.011782391,Sub Early,0.760070531
Emmanuel Agbadou,DF,2592.0,0.005401235,0.663194444,0.011661813,Sub Early,0.813799433
Julen Agirrezabala,GK,234.0,0.0,0.0,0.012451594,Monitor,0.128212678
Lucien Agoume,MF,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Felix Agu,"DF,MF",1610.9999999999998,0.004345127,0.988826816,0.011990386,Sub Early,0.582373943
Nayef Aguerd,DF,1854.0,0.002696872,0.373786408,0.011908997,Monitor,0.591306676
Ruben Aguilar,DF,1926.0,0.015576324,0.887850467,0.011884881,Sub Early,0.689071658
Brandon Aguilera,FW,9.0,0.0,9.0,0.012526955,Monitor,0.839724381
Naouirou Ahamada,"MF,FW",351.0,0.002849003,1.743589744,0.012412406,Monitor,0.270629856
Anel Ahmedhodžić,DF,2646.0,0.003401361,0.615646259,0.011643727,Sub Early,0.818633808
Joseph Aidoo,DF,405.0,0.002469136,0.355555556,0.01239432,Monitor,0.179351075
Ola Aina,DF,1692.0,0.007683215,0.829787234,0.011963256,Sub Early,0.598308655
Rayan Aït-Nouri,"DF,MF",2331.0,0.012012012,1.131274131,0.011749232,Sub Early,0.801359881
Tosin Aiyegun,"MF,FW",900.0,0.01,1.12,0.012228526,Sub Early,0.381188746
Kristoffer Ajer,DF,1836.0,0.008169935,0.730392157,0.011915025,Sub Early,0.633402509
Ludovic Ajorque,FW,1359.0,0.013245033,1.721854305,0.01207479,Sub Early,0.598172667
Manuel Akanji,"DF,MF",2511.0,0.005973716,0.415770609,0.011688943,Monitor,0.780487972
